,Location,Median House Price,LAD23CD,Median Salary,Housing Affordability Index,Affordability Level
70,Cumberland,159000.0,E06000063,37361.0,4.2557747383635345,Very Affordable
71,Dacorum,440000.0,E07000096,34161.0,12.880185006293727,Very Expensive
72,Darlington,145000.0,E06000005,34146.0,4.246471036138932,Very Affordable
73,Dartford,350000.0,E07000107,38721.0,9.039022752511556,Expensive
74,Denbighshire,180000.0,W06000004,31816.0,5.657530802112145,Very Affordable
75,Derby,200000.0,E06000015,39748.0,5.031699708161417,Very Affordable
76,Derbyshire dales,315000.0,E07000035,30181.0,10.43702991948577,Expensive
77,Doncaster,159950.0,E08000017,32548.0,4.914280447339315,Very Affordable
78,Dorset,340000.0,E06000059,33757.0,10.071985069763308,Expensive
79,Dover,287500.0,E07000108,38718.0,7.425486853659796,Affordable
80,Dudley,220000.0,E08000027,34296.0,6.4147422439934685,Affordable
81,Ealing,512500.0,E09000009,40302.0,12.716490496749541,Very Expensive
82,East cambridgeshire,343500.0,E07000009,34703.0,9.898279687635075,Expensive
